# x,y,z,vz
-1.9000000000e-03,0.0000000000e+00,1.5000000000e-03,-1.0000000000e+00
-9.5000000000e-04,0.0000000000e+00,1.5000000000e-03,-1.0000000000e+00
0.0000000000e+00,0.0000000000e+00,1.5000000000e-03,-1.0000000000e+00
9.5000000000e-04,0.0000000000e+00,1.5000000000e-03,-1.0000000000e+00
1.9000000000e-03,0.0000000000e+00,1.5000000000e-03,-1.0000000000e+00
-1.9000000000e-03,1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
-9.5000000000e-04,1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
0.0000000000e+00,1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
9.5000000000e-04,1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
1.9000000000e-03,1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
-1.9000000000e-03,-1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
-9.5000000000e-04,-1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
0.0000000000e+00,-1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
9.5000000000e-04,-1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
1.9000000000e-03,-1.1800000000e-03,1.9500000000e-03,-1.0000000000e+00
