# Explicit intra-fiber bond list (LAMMPS-data format) for bench_fiber_crossover.
# Tags are DIRT's 0-based insertion order: lower fiber = 0..6 (along y),
# upper fiber = 7..13 (along x). Only neighbouring spheres *within* a fiber are
# bonded — the two fibers are NEVER bonded to each other, so the crossover is a
# pure frictional contact (auto_bond is disabled to avoid bonding the touching
# cross-fiber pair).

12 bonds
1 bond types

Bonds

# id type atom1 atom2
1 1 0 1
2 1 1 2
3 1 2 3
4 1 3 4
5 1 4 5
6 1 5 6
7 1 7 8
8 1 8 9
9 1 9 10
10 1 10 11
11 1 11 12
12 1 12 13
