figure,quantity,phi,value,notes
8,rms_deviatoric_velocity,0.025,18.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.050,8.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.100,4.4,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.250,1.9,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.500,1.25,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.600,1.15,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.700,1.15,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.760,1.45,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
8,rms_deviatoric_velocity,0.820,1.45,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.025,500.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.070,145.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.250,95.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.500,170.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.600,300.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.670,800.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.720,2000.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.760,3800.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
9,total_pressure,0.800,1800.0,"Walton & Braun 1986, mu=0.5 e=0.8 edot=10"
12,dynamic_friction,0.025,0.73,"abs(Pxy)/Pyy, Walton & Braun 1986"
12,dynamic_friction,0.100,0.69,"abs(Pxy)/Pyy, Walton & Braun 1986"
12,dynamic_friction,0.250,0.64,"abs(Pxy)/Pyy, Walton & Braun 1986"
12,dynamic_friction,0.500,0.59,"abs(Pxy)/Pyy, Walton & Braun 1986"
12,dynamic_friction,0.600,0.55,"abs(Pxy)/Pyy, Walton & Braun 1986"
12,dynamic_friction,0.700,0.49,"abs(Pxy)/Pyy, Walton & Braun 1986"
12,dynamic_friction,0.750,0.40,"abs(Pxy)/Pyy, Walton & Braun 1986"
12,dynamic_friction,0.800,0.28,"abs(Pxy)/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.025,2.08,"Pxx/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.100,1.85,"Pxx/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.250,1.50,"Pxx/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.500,1.18,"Pxx/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.600,1.08,"Pxx/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.700,1.02,"Pxx/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.750,0.90,"Pxx/Pyy, Walton & Braun 1986"
13,stress_ratio_xx_yy,0.800,0.45,"Pxx/Pyy, Walton & Braun 1986"
