phase,delta,force
loading,0.000000000000e0,-0.000000000000e0
loading,1.348314606742e-5,2.868691437392e-2
loading,2.696629213483e-5,8.433026502314e-2
loading,4.044943820225e-5,1.380388102467e-1
loading,5.393258426966e-5,1.898832567392e-1
loading,6.741573033708e-5,2.399318937599e-1
loading,8.089887640449e-5,2.882506700311e-1
loading,9.438202247191e-5,3.349032683030e-1
loading,1.078651685393e-4,3.799511776532e-1
loading,1.213483146067e-4,4.234537635879e-1
loading,1.348314606742e-4,4.654683360095e-1
loading,1.483146067416e-4,5.060502151125e-1
loading,1.617977528090e-4,5.452527952691e-1
loading,1.752808988764e-4,5.831276069651e-1
loading,1.887640449438e-4,6.197243768406e-1
loading,2.022471910112e-4,6.550910858941e-1
loading,2.157303370787e-4,6.892740259034e-1
loading,2.292134831461e-4,7.223178541154e-1
loading,2.426966292135e-4,7.542656462566e-1
loading,2.561797752809e-4,7.851589479139e-1
loading,2.696629213483e-4,8.150378243338e-1
loading,2.831460674157e-4,8.439409086873e-1
loading,2.966292134831e-4,8.719054488457e-1
loading,3.101123595506e-4,8.989673527113e-1
loading,3.235955056180e-4,9.251612321464e-1
loading,3.370786516854e-4,9.505204455421e-1
loading,3.505617977528e-4,9.750771390679e-1
loading,3.640449438202e-4,9.988622866396e-1
loading,3.775280898876e-4,1.021905728647e0
loading,3.910112359551e-4,1.044236209475e0
loading,4.044943820225e-4,1.065881413856e0
loading,4.179775280899e-4,1.086868002088e0
loading,4.314606741573e-4,1.107221644153e0
loading,4.449438202247e-4,1.126967052769e0
loading,4.584269662921e-4,1.146128015405e0
loading,4.719101123596e-4,1.164727425292e0
loading,4.853932584270e-4,1.182787311461e0
loading,4.988764044944e-4,1.200328867838e0
loading,5.123595505618e-4,1.217372481418e0
loading,5.258426966292e-4,1.233937759554e0
loading,5.393258426966e-4,1.250043556386e0
loading,5.528089887640e-4,1.265707998427e0
loading,5.662921348315e-4,1.280948509347e0
loading,5.797752808989e-4,1.295781833963e0
loading,5.932584269663e-4,1.310224061476e0
loading,6.067415730337e-4,1.324290647958e0
loading,6.202247191011e-4,1.337996438132e0
loading,6.337078651685e-4,1.351355686451e0
loading,6.471910112360e-4,1.364382077506e0
loading,6.606741573034e-4,1.377088745777e0
loading,6.741573033708e-4,1.389488294760e0
loading,6.876404494382e-4,1.401592815465e0
loading,7.011235955056e-4,1.413413904334e0
loading,7.146067415730e-4,1.424962680572e0
loading,7.280898876404e-4,1.436249802920e0
loading,7.415730337079e-4,1.447285485890e0
loading,7.550561797753e-4,1.458079515471e0
loading,7.685393258427e-4,1.468641264322e0
loading,7.820224719101e-4,1.478979706482e0
loading,7.955056179775e-4,1.489103431589e0
loading,8.089887640449e-4,1.499020658641e0
loading,8.224719101124e-4,1.508739249309e0
loading,8.359550561798e-4,1.518266720810e0
loading,8.494382022472e-4,1.527610258360e0
loading,8.629213483146e-4,1.536776727220e0
loading,8.764044943820e-4,1.545772684339e0
loading,8.898876404494e-4,1.554604389620e0
loading,9.033707865169e-4,1.563277816811e0
loading,9.168539325843e-4,1.571798664032e0
loading,9.303370786517e-4,1.580172363957e0
loading,9.438202247191e-4,1.588404093659e0
loading,9.573033707865e-4,1.596498784119e0
loading,9.707865168539e-4,1.604461129424e0
loading,9.842696629213e-4,1.612295595659e0
loading,9.977528089888e-4,1.620006429493e0
loading,1.011235955056e-3,1.627597666482e0
loading,1.024719101124e-3,1.635073139095e0
loading,1.038202247191e-3,1.642436484457e0
loading,1.051685393258e-3,1.649691151847e0
loading,1.065168539326e-3,1.656840409928e0
loading,1.078651685393e-3,1.663887353735e0
loading,1.092134831461e-3,1.670834911431e0
loading,1.105617977528e-3,1.677685850820e0
loading,1.119101123596e-3,1.684442785650e0
loading,1.132584269663e-3,1.691108181692e0
loading,1.146067415730e-3,1.697684362608e0
loading,1.159550561798e-3,1.704173515624e0
loading,1.173033707865e-3,1.710577697000e0
loading,1.186516853933e-3,1.716898837315e0
loading,1.200000000000e-3,1.723138746562e0
unloading,1.200000000000e-3,1.723138746562e0
unloading,1.186516853933e-3,-2.646824038936e-1
unloading,1.173033707865e-3,-2.646824038936e-1
unloading,1.159550561798e-3,-2.646824038936e-1
unloading,1.146067415730e-3,-2.646824038936e-1
unloading,1.132584269663e-3,-2.646824038936e-1
unloading,1.119101123596e-3,-2.646824038936e-1
unloading,1.105617977528e-3,-2.646824038936e-1
unloading,1.092134831461e-3,-2.646824038936e-1
unloading,1.078651685393e-3,-2.646824038936e-1
unloading,1.065168539326e-3,-2.646824038936e-1
unloading,1.051685393258e-3,-2.646824038936e-1
unloading,1.038202247191e-3,-2.646824038936e-1
unloading,1.024719101124e-3,-2.646824038936e-1
unloading,1.011235955056e-3,-2.646824038936e-1
unloading,9.977528089888e-4,-2.646824038936e-1
unloading,9.842696629213e-4,-2.646824038936e-1
unloading,9.707865168539e-4,-2.646824038936e-1
unloading,9.573033707865e-4,-2.646824038936e-1
unloading,9.438202247191e-4,-2.646824038936e-1
unloading,9.303370786517e-4,-2.646824038936e-1
unloading,9.168539325843e-4,-2.646824038936e-1
unloading,9.033707865169e-4,-2.646824038936e-1
unloading,8.898876404494e-4,-2.646824038936e-1
unloading,8.764044943820e-4,-2.646824038936e-1
unloading,8.629213483146e-4,-2.646824038936e-1
unloading,8.494382022472e-4,-2.646824038936e-1
unloading,8.359550561798e-4,-2.646824038936e-1
unloading,8.224719101124e-4,-2.646824038936e-1
unloading,8.089887640449e-4,-2.646824038936e-1
unloading,7.955056179775e-4,-2.646824038936e-1
unloading,7.820224719101e-4,-2.646824038936e-1
unloading,7.685393258427e-4,-2.646824038936e-1
unloading,7.550561797753e-4,-2.646824038936e-1
unloading,7.415730337079e-4,-2.646824038936e-1
unloading,7.280898876404e-4,-2.646824038936e-1
unloading,7.146067415730e-4,-2.646824038936e-1
unloading,7.011235955056e-4,-2.646824038936e-1
unloading,6.876404494382e-4,-2.646824038936e-1
unloading,6.741573033708e-4,-2.646824038936e-1
unloading,6.606741573034e-4,-2.646824038936e-1
unloading,6.471910112360e-4,-2.646824038936e-1
unloading,6.337078651685e-4,-2.646824038936e-1
unloading,6.202247191011e-4,-2.646824038936e-1
unloading,6.067415730337e-4,-2.646824038936e-1
unloading,5.932584269663e-4,-2.646824038936e-1
unloading,5.797752808989e-4,-2.646824038936e-1
unloading,5.662921348315e-4,-2.646824038936e-1
unloading,5.528089887640e-4,-2.646824038936e-1
unloading,5.393258426966e-4,-2.646824038936e-1
unloading,5.258426966292e-4,-2.646824038936e-1
unloading,5.123595505618e-4,-2.646824038936e-1
unloading,4.988764044944e-4,-2.646824038936e-1
unloading,4.853932584270e-4,-2.646824038936e-1
unloading,4.719101123596e-4,-2.646824038936e-1
unloading,4.584269662921e-4,-2.646824038936e-1
unloading,4.449438202247e-4,-2.646824038936e-1
unloading,4.314606741573e-4,-2.646824038936e-1
unloading,4.179775280899e-4,-2.646824038936e-1
unloading,4.044943820225e-4,-2.646824038936e-1
unloading,3.910112359551e-4,-2.646824038936e-1
unloading,3.775280898876e-4,-2.646824038936e-1
unloading,3.640449438202e-4,-2.646824038936e-1
unloading,3.505617977528e-4,-2.646824038936e-1
unloading,3.370786516854e-4,-2.646824038936e-1
unloading,3.235955056180e-4,-2.646824038936e-1
unloading,3.101123595506e-4,-2.646824038936e-1
unloading,2.966292134831e-4,-2.646824038936e-1
unloading,2.831460674157e-4,-2.646824038936e-1
unloading,2.696629213483e-4,-2.646824038936e-1
unloading,2.561797752809e-4,-2.646824038936e-1
unloading,2.426966292135e-4,-2.646824038936e-1
unloading,2.292134831461e-4,-2.646824038936e-1
unloading,2.157303370787e-4,-2.646824038936e-1
unloading,2.022471910112e-4,-2.646824038936e-1
unloading,1.887640449438e-4,-2.646824038936e-1
unloading,1.752808988764e-4,-2.646824038936e-1
unloading,1.617977528090e-4,-2.646824038936e-1
unloading,1.483146067416e-4,-2.646824038936e-1
unloading,1.348314606742e-4,-2.646824038936e-1
unloading,1.213483146067e-4,-2.646824038936e-1
unloading,1.078651685393e-4,-2.646824038936e-1
unloading,9.438202247191e-5,-2.646824038936e-1
unloading,8.089887640449e-5,-2.646824038936e-1
unloading,6.741573033708e-5,-2.646824038936e-1
unloading,5.393258426966e-5,-2.646824038936e-1
unloading,4.044943820225e-5,-2.646824038936e-1
unloading,2.696629213483e-5,-2.646824038936e-1
unloading,1.348314606742e-5,-2.646824038936e-1
unloading,0.000000000000e0,-2.646824038936e-1
