step,strain,x_m,y_m,mode
156,0.002600000,-0.029835294,-0.022376471,tensile
156,0.002600000,0.003729412,0.037294118,tensile
157,0.002616667,-0.018647059,-0.059670588,tensile
157,0.002616667,0.029835294,-0.044752941,tensile
157,0.002616667,0.029835294,-0.037294118,tensile
157,0.002616667,-0.026105882,-0.029835294,tensile
157,0.002616667,-0.029835294,0.000000000,tensile
157,0.002616667,-0.007458824,0.000000000,tensile
157,0.002616667,-0.018647059,0.007458824,tensile
157,0.002616667,0.000000000,0.029835294,tensile
158,0.002633333,-0.014917647,-0.059670588,tensile
158,0.002633333,-0.011188235,-0.052211765,tensile
158,0.002633333,0.011188235,-0.052211765,tensile
158,0.002633333,0.014917647,-0.044752941,tensile
158,0.002633333,0.026105882,-0.037294118,tensile
158,0.002633333,0.029835294,-0.029835294,tensile
158,0.002633333,0.029835294,-0.014917647,tensile
158,0.002633333,-0.026105882,0.007458824,tensile
158,0.002633333,-0.026105882,0.014917647,tensile
158,0.002633333,0.026105882,0.029835294,tensile
158,0.002633333,0.000000000,0.052211765,tensile
159,0.002650000,0.014917647,-0.052211765,tensile
159,0.002650000,0.022376471,-0.052211765,tensile
159,0.002650000,0.000000000,-0.014917647,tensile
159,0.002650000,0.029835294,0.022376471,tensile
159,0.002650000,-0.003729412,0.059670588,tensile
160,0.002666667,0.018647059,-0.052211765,tensile
160,0.002666667,-0.018647059,-0.037294118,tensile
160,0.002666667,-0.007458824,-0.014917647,tensile
160,0.002666667,0.000000000,-0.007458824,tensile
160,0.002666667,0.026105882,0.037294118,tensile
160,0.002666667,0.018647059,0.044752941,tensile
160,0.002666667,0.026105882,0.052211765,tensile
160,0.002666667,-0.007458824,0.059670588,tensile
161,0.002683333,-0.018647059,-0.044752941,tensile
161,0.002683333,-0.014917647,-0.029835294,tensile
161,0.002683333,-0.011188235,-0.022376471,tensile
161,0.002683333,-0.022376471,0.000000000,tensile
161,0.002683333,0.000000000,0.000000000,tensile
