step,strain,stress_pa,stress_norm,intact_bonds,broken_bonds
0,0.000000000,0.000000,0.000000000,433,0
1,0.000016667,1181666.666667,0.005935041,433,0
2,0.000033333,2363333.333333,0.011870082,433,0
3,0.000050000,3545000.000000,0.017805123,433,0
4,0.000066667,4726666.666667,0.023740164,433,0
5,0.000083333,5908333.333333,0.029675205,433,0
6,0.000100000,7090000.000000,0.035610246,433,0
7,0.000116667,8271666.666667,0.041545287,433,0
8,0.000133333,9453333.333333,0.047480328,433,0
9,0.000150000,10635000.000000,0.053415369,433,0
10,0.000166667,11816666.666667,0.059350410,433,0
11,0.000183333,12998333.333333,0.065285451,433,0
12,0.000200000,14180000.000000,0.071220492,433,0
13,0.000216667,15361666.666667,0.077155533,433,0
14,0.000233333,16543333.333333,0.083090574,433,0
15,0.000250000,17725000.000000,0.089025615,433,0
16,0.000266667,18906666.666667,0.094960656,433,0
17,0.000283333,20088333.333333,0.100895697,433,0
18,0.000300000,21270000.000000,0.106830738,433,0
19,0.000316667,22451666.666667,0.112765779,433,0
20,0.000333333,23633333.333333,0.118700820,433,0
21,0.000350000,24815000.000000,0.124635861,433,0
22,0.000366667,25996666.666667,0.130570902,433,0
23,0.000383333,27178333.333333,0.136505943,433,0
24,0.000400000,28360000.000000,0.142440984,433,0
25,0.000416667,29541666.666667,0.148376025,433,0
26,0.000433333,30723333.333333,0.154311066,433,0
27,0.000450000,31905000.000000,0.160246107,433,0
28,0.000466667,33086666.666667,0.166181149,433,0
29,0.000483333,34268333.333333,0.172116190,433,0
30,0.000500000,35450000.000000,0.178051231,433,0
31,0.000516667,36631666.666667,0.183986272,433,0
32,0.000533333,37813333.333333,0.189921313,433,0
33,0.000550000,38995000.000000,0.195856354,433,0
34,0.000566667,40176666.666667,0.201791395,433,0
35,0.000583333,41358333.333333,0.207726436,433,0
36,0.000600000,42540000.000000,0.213661477,433,0
37,0.000616667,43721666.666667,0.219596518,433,0
38,0.000633333,44903333.333333,0.225531559,433,0
39,0.000650000,46085000.000000,0.231466600,433,0
40,0.000666667,47266666.666667,0.237401641,433,0
41,0.000683333,48448333.333333,0.243336682,433,0
42,0.000700000,49630000.000000,0.249271723,433,0
43,0.000716667,50811666.666667,0.255206764,433,0
44,0.000733333,51993333.333333,0.261141805,433,0
45,0.000750000,53175000.000000,0.267076846,433,0
46,0.000766667,54356666.666667,0.273011887,433,0
47,0.000783333,55538333.333333,0.278946928,433,0
48,0.000800000,56720000.000000,0.284881969,433,0
49,0.000816667,57901666.666667,0.290817010,433,0
50,0.000833333,59083333.333333,0.296752051,433,0
51,0.000850000,60265000.000000,0.302687092,433,0
52,0.000866667,61446666.666667,0.308622133,433,0
53,0.000883333,62628333.333333,0.314557174,433,0
54,0.000900000,63810000.000000,0.320492215,433,0
55,0.000916667,64991666.666667,0.326427256,433,0
56,0.000933333,66173333.333333,0.332362297,433,0
57,0.000950000,67355000.000000,0.338297338,433,0
58,0.000966667,68536666.666667,0.344232379,433,0
59,0.000983333,69718333.333333,0.350167420,433,0
60,0.001000000,70900000.000000,0.356102461,433,0
61,0.001016667,72081666.666667,0.362037502,433,0
62,0.001033333,73263333.333333,0.367972543,433,0
63,0.001050000,74445000.000000,0.373907584,433,0
64,0.001066667,75626666.666667,0.379842625,433,0
65,0.001083333,76808333.333333,0.385777666,433,0
66,0.001100000,77990000.000000,0.391712707,433,0
67,0.001116667,79171666.666667,0.397647748,433,0
68,0.001133333,80353333.333333,0.403582789,433,0
69,0.001150000,81535000.000000,0.409517830,433,0
70,0.001166667,82716666.666667,0.415452871,433,0
71,0.001183333,83898333.333333,0.421387912,433,0
72,0.001200000,85080000.000000,0.427322953,433,0
73,0.001216667,86261666.666667,0.433257994,433,0
74,0.001233333,87443333.333333,0.439193035,433,0
75,0.001250000,88625000.000000,0.445128076,433,0
76,0.001266667,89806666.666667,0.451063117,433,0
77,0.001283333,90988333.333333,0.456998158,433,0
78,0.001300000,92170000.000000,0.462933199,433,0
79,0.001316667,93351666.666667,0.468868240,433,0
80,0.001333333,94533333.333333,0.474803281,433,0
81,0.001350000,95715000.000000,0.480738322,433,0
82,0.001366667,96896666.666667,0.486673363,433,0
83,0.001383333,98078333.333333,0.492608404,433,0
84,0.001400000,99260000.000000,0.498543446,433,0
85,0.001416667,100441666.666667,0.504478487,433,0
86,0.001433333,101623333.333333,0.510413528,433,0
87,0.001450000,102805000.000000,0.516348569,433,0
88,0.001466667,103986666.666667,0.522283610,433,0
89,0.001483333,105168333.333333,0.528218651,433,0
90,0.001500000,106350000.000000,0.534153692,433,0
91,0.001516667,107531666.666667,0.540088733,433,0
92,0.001533333,108713333.333333,0.546023774,433,0
93,0.001550000,109895000.000000,0.551958815,433,0
94,0.001566667,111076666.666667,0.557893856,433,0
95,0.001583333,112258333.333333,0.563828897,433,0
96,0.001600000,113440000.000000,0.569763938,433,0
97,0.001616667,114621666.666667,0.575698979,433,0
98,0.001633333,115803333.333333,0.581634020,433,0
99,0.001650000,116985000.000000,0.587569061,433,0
100,0.001666667,118166666.666667,0.593504102,433,0
101,0.001683333,119348333.333333,0.599439143,433,0
102,0.001700000,120530000.000000,0.605374184,433,0
103,0.001716667,121711666.666667,0.611309225,433,0
104,0.001733333,122893333.333333,0.617244266,433,0
105,0.001750000,124075000.000000,0.623179307,433,0
106,0.001766667,125256666.666667,0.629114348,433,0
107,0.001783333,126438333.333333,0.635049389,433,0
108,0.001800000,127620000.000000,0.640984430,433,0
109,0.001816667,128801666.666667,0.646919471,433,0
110,0.001833333,129983333.333333,0.652854512,433,0
111,0.001850000,131165000.000000,0.658789553,433,0
112,0.001866667,132346666.666667,0.664724594,433,0
113,0.001883333,133528333.333333,0.670659635,433,0
114,0.001900000,134710000.000000,0.676594676,433,0
115,0.001916667,135891666.666667,0.682529717,433,0
116,0.001933333,137073333.333333,0.688464758,433,0
117,0.001950000,138255000.000000,0.694399799,433,0
118,0.001966667,139436666.666667,0.700334840,433,0
119,0.001983333,140618333.333333,0.706269881,433,0
120,0.002000000,141800000.000000,0.712204922,433,0
121,0.002016667,142981666.666667,0.718139963,433,0
122,0.002033333,144163333.333333,0.724075004,433,0
123,0.002050000,145345000.000000,0.730010045,433,0
124,0.002066667,146526666.666667,0.735945086,433,0
125,0.002083333,147708333.333333,0.741880127,433,0
126,0.002100000,148890000.000000,0.747815168,433,0
127,0.002116667,150071666.666667,0.753750209,433,0
128,0.002133333,151253333.333333,0.759685250,433,0
